Number,Name,Address,Latitude,Longitude
122,122 - LOWER RIVER TCE / ELLIS ST,Lower River Tce / Ellis St,-27.482279,153.028723
55,55 - ALDEN ST / WICKHAM ST,Alden St / Wickham St,-27.456085,153.03453
35,35 - ROMA STREET / MAKERSTON STREET,Roma St / Makerston St,-27.46637,153.018506
150,150 - MACQUARIE ST / MUNRO ST,Macquarie St / Munro St,-27.492876,153.006071
91,91 - MAIN ST / DARRAGH ST,Main St / Darragh St,-27.47059,153.036046
88,88 - SYDNEY ST FERRY TERMINAL / PARK,Sydney St Ferry Terminal / Park,-27.474531,153.042728
75,75 - BROWNE ST / JAMES ST,Browne St / James St,-27.461881,153.046986
98,98 - KURILPA POINT / MONTAGUE RD,Kurilpa Point / Montague Rd,-27.469658,153.016696
80,80 - BARKER ST / BRUNSWICK ST,Barker St / Brunswick St,-27.464681,153.042561
109,109 - MONTAGUE RD / SKINNER ST,Montague Rd / Skinner St,-27.48172,153.00436
149,149 - MACQUARIE ST / GUYATT PARK,Macquarie St / Guyatt Park,-27.493626,153.001482
78,78 - MALT ST / BRUNSWICK ST,Malt St / Brunswick St,-27.461041,153.037902
139,139 - BI-CENTENNIAL BIKE WAY / LANG PDE,Bi-centennial Bike Way / Lang Pde,-27.476076,153.002459
65,65 - CHERMSIDE ST / COMMERCIAL RD,Chermside St / Commercial Rd,-27.454482,153.046802
24,24 - SIR WILLIAM MCGREGOR DR / SIR FRED SCHONNELL,Sir William McGregor Dr / Sir Fred Schonnell,-27.493963,153.011938
44,44 - QUEEN STREET / ADELAIDE STREET,Queen St / Adelaide St,-27.463405,153.031142
56,56 - CONSTANCE ST / ST PAULS TCE,Constance St / St Pauls Tce,-27.453717,153.034042
117,117 - VULTURE ST / TRIBUNE ST,Vulture St / Tribune St,-27.482197,153.020894
50,50 - GIPPS ST / WICKHAM ST,Gipps St / Wickham St,-27.458641,153.03208
73,73 - LAMINGTON ST / REFINERY PDE,Lamington St / Refinery Pde,-27.465226,153.050864
95,95 - STANLEY ST / MELBOURNE ST,Stanley St / Melbourne St,-27.475039,153.020323
1101,1101 - KING GEORGE SQUARE 2,King George Square 2,-27.468447,153.024662
133,133 - CORONATION DR / GO BETWEEN BRIDGE,Coronation Dr / Go Between Bridge,-27.468839,153.011115
23,23 - MARY STREET / GEORGE STREET,Mary St / George St,-27.473021,153.025988
68,68 - VERNON TCE / ETHEL ST,Vernon Tce / Ethel St,-27.454394,153.049519
54,54 - MCLACHLAN ST / WINN ST,McLachlan St / Winn St,-27.457825,153.036866
134,134 - RAILWAY TCE / CRIBB ST,Railway Tce / Cribb St,-27.468845,153.007364
93,93 - GREY ST / QCA,Grey St / QCA,-27.48148,153.02368
31,31 - ROMA ST / TURBOT ST,Roma St / Turbot St,-27.467464,153.022094
97,97 - THYNNE RD / COLLEGE RD,Thynne Rd / College Rd,-27.499963,153.017633
52,52 - BRUNSWICK ST MALL / WICKHAM ST,Brunswick St Mall / Wickham St,-27.457512,153.033841
47,47 - TURBOT ST / BARRY PDE,Turbot St / Barry Pde,-27.46123,153.031077
140,140 - DUNMORE TCE / KINGSFORD ST,Dunmore Tce / Kingsford St,-27.476003,153.000676
147,147 - SANDFORD ST / BRISBANE ST,Sandford St / Brisbane St,-27.490776,152.994747
77,77 - JAMES ST / HARCOURT ST,James St / Harcourt St,-27.458199,153.041688
16,16 - MARY STREET / ALBERT STREET,Mary St / Albert St,-27.472044,153.027193
59,59 - JAMES ST / MCLACHLAN ST,James St / McLachlan St,-27.456276,153.039196
119,119 - SIDON ST / LITTLE STANLEY ST,Sidon St / Little Stanley St,-27.481808,153.025477
67,67 - COMMERCIAL RD / TENERIFFE FERRY TERMINAL,Commercial Rd / Teneriffe Ferry Terminal,-27.452027,153.04911
18,18 - LITTLE STANLEY ST / TRIBUNE ST,Little Stanley St / Tribune St,-27.480385,153.023564
39,39 - TURBOT ST / WICKHAM TCE,Turbot St / Wickham Tce,-27.464628,153.026863
130,130 - O'CONNELL ST / LAMBERT ST,O'Connell St / Lambert St,-27.474992,153.037647
48,48 - ANN ST / GOTHA ST,Ann St / Gotha St,-27.46048,153.032768
43,43 - QUEEN ST / WHARF ST,Queen St / Wharf St,-27.465043,153.030991
9,9 - CHARLOTTE STREET / EDWARD STREET,Charlotte St / Edward St,-27.469924,153.02822
5,5 - MARKET STREET / MARY STREET,Market St / Mary St,-27.469702,153.029828
22,22 - GEORGE ST / TANK ST,George St / Tank St,-27.467591,153.020372
4,4 - CHARLOTTE STREET / EAGLE STREET,Charlotte St / Eagle St,-27.468675,153.029834
11,11 - KING GEORGE SQUARE / ANN ST,King George Square / Ann St,-27.468422,153.024635
85,85 - OXLADE DR / TURNER AVE,Oxlade Dr / Turner Ave,-27.473304,153.048757
138,138 - ROY ST / LANG PDE,Roy St / Lang Pde,-27.473888,153.000599
53,53 - BOWEN TCE / BRADFIELD HWY,Bowen Tce / Bradfield Hwy,-27.461803,153.036021
125,125 - ANNERLEY RD / BOGGO RD,Annerley Rd / Boggo Rd,-27.494959,153.02802
143,143 - REGATTA FERRY TERMINAL / SYLVAN RD,Regatta Ferry Terminal / Sylvan Rd,-27.483168,152.996419
72,72 - LAMINGTON ST / POWERHOUSE,Lamington St / Powerhouse,-27.467802,153.053645
145,145 - CORONATION DR / ARCHER ST,Coronation Dr / Archer St,-27.485872,152.99347
121,121 - VULTURE ST / STANLEY ST,VULTURE ST / STANLEY ST,-27.483259,153.026946
40,40 - ANN STREET / CREEK STREET,Ann St / Creek St,-27.464986,153.027679
27,27 - BLAIR DR / SIR WILLIAM MACGREGOR DR,Blair Dr / Sir William McGregor Dr,-27.494561,153.016318
136,136 - PARK RD / DOUGLAS ST,Park Rd / Douglas St,-27.470987,153.004602
49,49 - ANN STREET / GIPPS STREET,Ann St / Gipps St,-27.459833,153.033445
70,70 - MACQUARIE ST / BEESTON ST,Macquarie St / Beeston St,-27.459091,153.050239
87,87 - MERTHYR RD / REGINALD ST,Merthyr Rd / Reginald St,-27.469931,153.043525
21,21 - BOTANICAL GARDENS / QUT,Botanical Gardens / QUT,-27.475922,153.0288
12,12 - ALBERT ST MALL / ADELAIDE ST,Albert St Mall / Adelaide St,-27.468963,153.02461
29,29 - GEORGE STREET / ANN STREET,George St / Ann St,-27.469075,153.021808
69,69 - VERNON TCE / FLORENCE ST,Vernon Tce / Florence St,-27.455907,153.050013
113,113 - EDMONDSTONE ST / VULTURE ST,Edmondstone St / Vulture St,-27.480164,153.016181
112,112 - BANK ST / MOLLISON ST,Bank St / Mollison St,-27.476724,153.010063
63,63 - ANN ST / MURRI WAY,Ann St / Murri Way,-27.452468,153.040565
26,26 - NORTH QUAY / REDDACLIFF PLACE,North Quay /Reddacliff Place,-27.471297,153.02257
82,82 - BRUNSWICK ST / MERTHYR RD,Brunswick St / Merthyr Rd,-27.467498,153.0467
74,74 - MERTHYR RD / JAMES ST,Merthyr Rd / James St,-27.463678,153.049485
15,15 - ALBERT STREET MALL / ELIZABETH STREET,Albert St Mall / Elizabeth St,-27.47019,153.025852
127,127 - GLADSTONE RD / ANNERLEY RD,Gladstone Rd / Annerley Rd,-27.497934,153.027333
110,110 - JANE ST / MONTAGUE RD,Jane St / Montague Rd,-27.478214,153.006181
141,141 - LAND ST / CORONATION DR,Land St / Coronation Dr,-27.479453,152.997215
135,135 - PARK RD / RAILWAY TCE,Park Rd / Railway Tce,-27.469501,153.004129
108,108 - ROGERS ST / MONTAGUE RD,Rogers St / Montague Rd,-27.485078,153.002382
111,111 - DONKIN ST / MONTAGUE RD,Donkin St / Montague Rd,-27.476474,153.008182
90,90 - MAIN ST / ROTHERHAM ST (MAHONEY PARK),Main St / Rotherham St (Mahoney Park),-27.469296,153.035533
46,46 - ANN ST / BOUNDARY ST,Ann St / Boundary St,-27.461984,153.031782
