Ward,Suburb,Property_Code,Park_Name,Node_Id,Node_Name,Item_Id,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing
CENTRAL,BOWEN HILLS,D0087,BOWEN PARK,24063,BOWEN PK FORMAL GARDENS,1617,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4490972,153.0292193,502887,6963821
CENTRAL,BOWEN HILLS,D0087,BOWEN PARK,24063,BOWEN PK FORMAL GARDENS,34592,TAP COMBINATION,BUBBLER & TAP,-27.4488617,153.0293348,502899,6963847
CENTRAL,BOWEN HILLS,D0087,BOWEN PARK,24063,BOWEN PK FORMAL GARDENS,79343,TAP COMBINATION,BUBBLER & TAP,-27.4481868,153.0302469,502989,6963922
CENTRAL,BOWEN HILLS,D1984,JEAYS STREET PARK,12336,BALANCE OF PARK,38056,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4487881,153.0362064,503578,6963855
CENTRAL,BRISBANE CITY,D0082,ANZAC SQUARE,24044,SHRINE OF REMEMBRANCE,82580,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4664855,153.0264626,502615,6961895
CENTRAL,BRISBANE CITY,D0082,ANZAC SQUARE,24044,SHRINE OF REMEMBRANCE,34586,BUBBLER/DRINKING FOUNTAIN,BOWL SHAPED DRINKING FOUNTAIN,-27.4663534,153.0266365,502632,6961910
CENTRAL,BRISBANE CITY,D0092,KING EDWARD PARK,12634,KING EDWARD PK SCULPTURE PARK,70020,TAP COMBINATION,BUBBLER & TAP NEAR CHESS PAVEMENT,-27.4657953,153.0236887,502341,6961972
CENTRAL,BRISBANE CITY,D0092,KING EDWARD PARK,12634,KING EDWARD PK SCULPTURE PARK,70023,TAP COMBINATION,BUBBLER & ANTI-VANDAL TAP NEAR JACOBS LA,-27.4658626,153.0243761,502408,6961964
CENTRAL,BRISBANE CITY,D0094,EMMA MILLER PLACE,12543,ROMA ST FORUM,83970,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4670254,153.0215589,502130,6961835
CENTRAL,BRISBANE CITY,D0094,EMMA MILLER PLACE,12543,ROMA ST FORUM,83677,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4671073,153.0222037,502194,6961826
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,133888,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4754079,153.0286773,502833,6960907
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,37218,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4788978,153.0287439,502840,6960520
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,133115,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4772831,153.0304334,503007,6960699
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,133295,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4744193,153.0305353,503017,6961016
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,33636,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS FOUNTAIN,-27.4760785,153.0307241,503035,6960833
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,133974,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4761114,153.0289927,502864,6960829
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,133366,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4764261,153.0296389,502928,6960794
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,133576,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4731253,153.0300367,502968,6961160
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,133003,TAP COMBINATION,BUBBLER & TAP,-27.4757524,153.0306732,503030,6960869
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,133002,TAP COMBINATION,BUBBLER & TAP,-27.4756452,153.0307153,503034,6960881
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12516,BALANCE OF PARK,132899,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4746759,153.0312301,503085,6960988
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,12521,ORNAMENTAL PONDS,8250,TAP COMBINATION,BUBBLER & TAP,-27.4740925,153.0292592,502891,6961053
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,23308,BRISBANE RIVER STAGE NODE,132676,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4789502,153.0293266,502897,6960514
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,23803,BASKETBALL HALF COURT,38001,TAP COMBINATION,BUBBLER & TAP,-27.4779694,153.0312519,503087,6960623
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,23804,ALBERT ST (ALICE ST) ENTRANCE,133689,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4735846,153.0291963,502884,6961109
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,23805,THE DOMAIN & GOODWILL BRIDGE PATHWAY NETWORK,130657,TAP COMBINATION,BUBBLER & TAP,-27.4793133,153.0291305,502878,6960474
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,23809,BOOKING SITE 1 MORNING STAR LAWN,134097,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4750215,153.0279453,502761,6960950
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,23810,RAINFOREST GARDEN,130752,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4773427,153.0314300,503105,6960692
CENTRAL,BRISBANE CITY,D0096,CITY BOTANIC GARDENS,23815,BOOKING SITE 5 CIRCLE OF PALMS LAWN,130861,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4732694,153.0307548,503038,6961144
CENTRAL,BRISBANE CITY,D0099,KING GEORGE SQUARE PROPERTY,12506,BALANCE OF PARK,84916,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4682584,153.0240048,502372,6961699
CENTRAL,BRISBANE CITY,D0099,KING GEORGE SQUARE PROPERTY,12506,BALANCE OF PARK,33634,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4681247,153.0240320,502374,6961714
CENTRAL,BRISBANE CITY,D0099,KING GEORGE SQUARE PROPERTY,12506,BALANCE OF PARK,84903,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4684737,153.0246312,502434,6961675
CENTRAL,BRISBANE CITY,D0101,CLARK LANE PARK,12503,BALANCE OF PARK,33631,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4635258,153.0310912,503072,6962223
CENTRAL,BRISBANE CITY,D0792,POST OFFICE SQUARE,12480,POST OFFICE SQUARE,33635,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4673462,153.0275799,502725,6961800
CENTRAL,BRISBANE,D1784,ADMIRALTY TOWERS 11 PARK,12349,BALANCE OF PARK,33632,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4643263,153.0317037,503132,6962134
CENTRAL,HERSTON,D0083,VICTORIA PARK,15420,GREGORY TCE DOG OFF LEASH AREA (SPRING HILL),31562,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.4544189,153.0255065,502520,6963232
CENTRAL,HERSTON,D0083,VICTORIA PARK,15420,GREGORY TCE DOG OFF LEASH AREA (SPRING HILL),109590,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4539409,153.0256617,502536,6963285
CENTRAL,HERSTON,D0083,VICTORIA PARK,15420,GREGORY TCE DOG OFF LEASH AREA (SPRING HILL),109594,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4540323,153.0260490,502574,6963275
CENTRAL,HERSTON,D0083,VICTORIA PARK,15422,GILCHRIST AVE TOILET,33642,TAP COMBINATION,BUBBLER,-27.4507004,153.0263123,502600,6963644
CENTRAL,HERSTON,D0083,VICTORIA PARK,15421,GREGORY TCE PLAYGROUND (SPRING HILL),109432,BUBBLER/DRINKING FOUNTAIN,DISABLED ACCESS BUBBLER,-27.4545079,153.0250842,502479,6963222
CENTRAL,HERSTON,D0083,VICTORIA PARK,15423,VICTORIA PK GOLF COURSE,109838,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4558723,153.0212541,502100,6963071
CENTRAL,HERSTON,D0083,VICTORIA PARK,15423,VICTORIA PK GOLF COURSE,109839,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4557045,153.0215662,502131,6963089
CENTRAL,HERSTON,D0083,VICTORIA PARK,15423,VICTORIA PK GOLF COURSE,109873,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4510360,153.0233294,502305,6963607
CENTRAL,HERSTON,D0083,VICTORIA PARK,15426,BALANCE OF PARK,1321,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4513638,153.0243609,502407,6963570
CENTRAL,HERSTON,D0083,VICTORIA PARK,24470,VICTORIA PK (GREGORY TCE) SHARED PATHWAY NETWORK,50865,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4575740,153.0236920,502341,6962882
CENTRAL,HERSTON,D0083,VICTORIA PARK,32224,GREGORY TCE ACCESS & CAR PARKING,25414,TAP COMBINATION,BUBBLER & TAP,-27.4530476,153.0277848,502746,6963384
CENTRAL,HERSTON,D0103,GOULD ROAD PARK,25331,GOULD RD PICNIC AREA,16716,TAP COMBINATION,BUBBLER & TAP,-27.4425738,153.0205517,502031,6964544
PADDINGTON,KELVIN GROVE,D0175,E. E. MCCASKIE OVAL,15403,BALANCE OF PARK,35438,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4540606,153.0122706,501213,6963272
PADDINGTON,KELVIN GROVE,D2472,MAIDSTONE STREET PARK,29857,MAIDSTONE ST PICNIC AREA,111619,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4547124,153.0159034,501571,6963199
PADDINGTON,KELVIN GROVE,D2996,GREY GUMS PARK,26629,BASKETBALL COURT,174847,BUBBLER/DRINKING FOUNTAIN,DIABLED ACCESS BUBBLER,-27.4515941,153.0135080,501335,6963545
CENTRAL,NEW FARM,D0080,MERTHYR PARK,12578,MERTHYR PK PLAYGROUND,1167,BUBBLER/DRINKING FOUNTAIN,FOUNTAIN - DISABLED ACCESS,-27.4754026,153.0447949,504425,6960907
CENTRAL,NEW FARM,D0080,MERTHYR PARK,12580,MERTHYR PK SHARED PATHWAY,34580,TAP COMBINATION,BUBBLER & TAP,-27.4753818,153.0440438,504351,6960909
CENTRAL,NEW FARM,D0089,WILSON OUTLOOK RESERVE,12559,BALANCE OF PARK,45727,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4629456,153.0386119,503815,6962287
CENTRAL,NEW FARM,D0089,WILSON OUTLOOK RESERVE,12559,BALANCE OF PARK,118384,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4634502,153.0391503,503868,6962231
CENTRAL,NEW FARM,D0095,NEW FARM PARK,12527,DIXON ST PLAYGROUND & HALF COURT,68592,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4680684,153.0502774,504967,6961719
CENTRAL,NEW FARM,D0095,NEW FARM PARK,12531,HALF BASKETBALL,145578,TAP COMBINATION,BUBBLER & TAP,-27.4678983,153.0514837,505087,6961738
CENTRAL,NEW FARM,D0095,NEW FARM PARK,12533,SYDNEY ST SOCCER FIELDS,161265,TAP COMBINATION,TAP COMBINATION,-27.4677175,153.0492776,504869,6961758
CENTRAL,NEW FARM,D0095,NEW FARM PARK,12533,SYDNEY ST SOCCER FIELDS,178948,TAP COMBINATION,BUBBLER & TAP,-27.4682359,153.0511599,505055,6961701
CENTRAL,NEW FARM,D0095,NEW FARM PARK,12538,FIG TREE PLAYGROUND PICNIC AREA,31576,BUBBLER/DRINKING FOUNTAIN,BUBBLER - SINGLE,-27.4684647,153.0522787,505165,6961675
CENTRAL,NEW FARM,D0095,NEW FARM PARK,12538,FIG TREE PLAYGROUND PICNIC AREA,181085,BUBBLER/DRINKING FOUNTAIN,BOWL FOUNTAIN TW001,-27.4686661,153.0524812,505185,6961653
CENTRAL,NEW FARM,D0095,NEW FARM PARK,22843,FERRY PICNIC AREA,181073,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.4712615,153.0518500,505123,6961365
CENTRAL,NEW FARM,D0095,NEW FARM PARK,22843,FERRY PICNIC AREA,178949,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN 3 TIERED,-27.4711801,153.0517685,505115,6961374
CENTRAL,NEW FARM,D0095,NEW FARM PARK,22843,FERRY PICNIC AREA,181072,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.4710092,153.0519255,505130,6961393
CENTRAL,NEW FARM,D0095,NEW FARM PARK,22849,BOOKING SITE NO 3 FERRY VIEW,144938,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN WITH SLAB & DRAIN,-27.4711530,153.0522817,505165,6961377
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23125,NEW FARM PK RING RD & CAR PARKING,144728,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4689739,153.0497127,504912,6961619
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23125,NEW FARM PK RING RD & CAR PARKING,31575,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4688315,153.0499043,504931,6961635
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23125,NEW FARM PK RING RD & CAR PARKING,144924,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4697885,153.0506075,505000,6961529
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23125,NEW FARM PK RING RD & CAR PARKING,70143,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4702189,153.0509138,505030,6961481
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23125,NEW FARM PK RING RD & CAR PARKING,145529,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4687991,153.0521030,505148,6961638
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23125,NEW FARM PK RING RD & CAR PARKING,69720,TAP COMBINATION,BUBBLER & TAP,-27.4688154,153.0521063,505148,6961636
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23125,NEW FARM PK RING RD & CAR PARKING,70141,TAP COMBINATION,BUBBLER & TAP,-27.4686816,153.0521215,505150,6961651
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23125,NEW FARM PK RING RD & CAR PARKING,70182,TAP COMBINATION,BUBBLER & TAP,-27.4706135,153.0522797,505165,6961437
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23125,NEW FARM PK RING RD & CAR PARKING,145348,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4699990,153.0530192,505238,6961505
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23132,SITE OF FORMER KIOSK & GARDENS,144755,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4684129,153.0518048,505118,6961681
CENTRAL,NEW FARM,D0095,NEW FARM PARK,23133,POWERHOUSE PEDESTRIAN & BIKE ACCESS,31020,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4693458,153.0533043,505266,6961578
CENTRAL,NEW FARM,D0095,NEW FARM PARK,32384,SOFT FALL,70184,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4684309,153.0486456,504806,6961679
CENTRAL,NEW FARM,D1535,POWERHOUSE PARK,12399,BALANCE OF PARK,123507,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4677775,153.0541988,505355,6961751
CENTRAL,NEW FARM,D1948,MERTHYR ROAD PARK,12369,BALANCE OF PARK,123464,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4653290,153.0525275,505190,6962022
CENTRAL,NEW FARM,D1974,MERTHYR ROAD PARK (NO.2),12341,BALANCE OF PARK,118374,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4708710,153.0410430,504055,6961409
ENOGGERA,NEWMARKET,D0487,MCCOOK PARK,15267,MCCOOK PK SPORTING FACILITY,18138,TAP COMBINATION,BUBBLER & TAP,-27.4372206,153.0135062,501335,6965137
ENOGGERA,WILSTON,D0493,WILSTON RECREATION RESERVE,15222,BRIS CITY JR SOCCER CLUB FACILITY,23299,TAP COMBINATION,BUBBLER & TAP,-27.4407738,153.0130275,501287,6964743
ENOGGERA,WILSTON,D0493,WILSTON RECREATION RESERVE,15223,WILSTON REC RES PLAYGROUND,90511,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4408037,153.0119805,501184,6964740
CENTRAL,TENERIFFE,D0078,TENERIFFE PARK,12594,TENERIFFE PK PICNIC AREA,47700,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.4582988,153.0463902,504584,6962801
CENTRAL,TENERIFFE,D0078,TENERIFFE PARK,24708,TENERIFFE PK BUSHLAND GP RESTORATION SITE,34569,TAP COMBINATION,BUBBLER & TAP,-27.4571300,153.0464151,504586,6962931
CENTRAL,SPRING HILL,D0071,WICKHAM PARK,12631,WICKHAM PK ESCARPMENT,146012,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4649008,153.0211240,502087,6962071
CENTRAL,SPRING HILL,D0071,WICKHAM PARK,12631,WICKHAM PK ESCARPMENT,146019,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4651539,153.0214966,502124,6962043
CENTRAL,SPRING HILL,D0071,WICKHAM PARK,12631,WICKHAM PK ESCARPMENT,146025,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4653507,153.0219093,502165,6962021
CENTRAL,SPRING HILL,D0081,TERRACE STREET PARK,12576,SEDGEBROOK ST PLAYGROUND,44385,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4638790,153.0228816,502261,6962184
CENTRAL,FORTITUDE VALLEY,D0076,CENTENARY PLACE PARK,12601,SOUTH PAC,19345,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4608484,153.0319349,503155,6962519
ENOGGERA,WILSTON,D0486,LANGLEY AVENUE PARK,15277,BALANCE OF PARK,45962,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4405903,153.0161801,501599,6964764
ENOGGERA,WILSTON,D0486,LANGLEY AVENUE PARK,31821,LANGLEY AVE SHARED PATHWAY,45963,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4411919,153.0195384,501931,6964697
ENOGGERA,WINDSOR,D0492,DOWNEY PARK,15232,BRISBANE WOMENS HOCKEY CENTRE,177059,TAP COMBINATION,BUBBLER & TAP,-27.4405461,153.0223260,502206,6964768
ENOGGERA,WINDSOR,D0492,DOWNEY PARK,15232,BRISBANE WOMENS HOCKEY CENTRE,177058,TAP COMBINATION,BUBBLER & TAP,-27.4398612,153.0224760,502221,6964844
ENOGGERA,WINDSOR,D0492,DOWNEY PARK,15232,BRISBANE WOMENS HOCKEY CENTRE,177052,TAP COMBINATION,BUBBLER & TAP,-27.4393274,153.0226051,502234,6964903
ENOGGERA,WINDSOR,D0492,DOWNEY PARK,15232,BRISBANE WOMENS HOCKEY CENTRE,177069,TAP COMBINATION,BUBBLER & TAP,-27.4397006,153.0236542,502338,6964862
ENOGGERA,WINDSOR,D0492,DOWNEY PARK,15232,BRISBANE WOMENS HOCKEY CENTRE,176993,TAP COMBINATION,BUBBLER & TAP,-27.4398579,153.0252073,502491,6964845
ENOGGERA,WINDSOR,D0492,DOWNEY PARK,26904,GREEN TCE PICNIC AREA,23261,TAP COMBINATION,BUBBLER & TAP,-27.4415202,153.0251706,502487,6964661
ENOGGERA,WINDSOR,D0492,DOWNEY PARK,15242,DOWNEY PK SHARED PATHWAY,177128,TAP COMBINATION,BUBBLER & TAP,-27.4418929,153.0227259,502246,6964619
ENOGGERA,WINDSOR,D0492,DOWNEY PARK,15232,BRISBANE WOMENS HOCKEY CENTRE,71018,BUBBLER/DRINKING FOUNTAIN,BUBBLER WITH DOG/BIRD DRINKING TROUGH,-27.4408779,153.0249040,502461,6964732
ENOGGERA,WINDSOR,D0497,HINKLER PARK,14976,HINKLER PK PICNIC AREA,188676,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4318954,153.0238507,502357,6965727
ENOGGERA,WINDSOR,D0506,WINDSOR MEMORIAL PARK,15143,BALANCE OF PARK,9676,TAP COMBINATION,BUBBLER & TAP,-27.4307628,153.0322577,503188,6965852
ENOGGERA,WINDSOR,D1137,NORTHEY STREET PARK,15104,DOWNEY ST DOG OFF LEASH AREA,168056,TAP COMBINATION,BUBBLER 2 TAPS & DOG BOWL,-27.4434585,153.0266995,502639,6964446
COORPAROO,COORPAROO,D0109,WEMBLEY PARK,14550,JACKSON ST DOG OFF LEASH AREA,29905,TAP COMBINATION,BUBBLER & TAP,-27.4893581,153.0635050,506273,6959360
COORPAROO,COORPAROO,D0109,WEMBLEY PARK,14552,JACKSON ST PLAYGROUND,25443,TAP COMBINATION,BUBBLER & TAP,-27.4889126,153.0632492,506248,6959410
COORPAROO,COORPAROO,D0109,WEMBLEY PARK,14554,WEMBLEY PK METROPOLITAN DISTRICTS NETBALL FACILITY,39494,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4890146,153.0607457,506001,6959399
COORPAROO,COORPAROO,D0109,WEMBLEY PARK,14554,WEMBLEY PK METROPOLITAN DISTRICTS NETBALL FACILITY,102546,TAP COMBINATION,BUBBLER & TAP,-27.4894236,153.0607955,506006,6959353
COORPAROO,COORPAROO,D0109,WEMBLEY PARK,14554,WEMBLEY PK METROPOLITAN DISTRICTS NETBALL FACILITY,39495,TAP COMBINATION,BUBBLER & TAP,-27.4891631,153.0613335,506059,6959382
COORPAROO,COORPAROO,D0109,WEMBLEY PARK,14555,BALANCE OF PARK,16817,BUBBLER/DRINKING FOUNTAIN,DRINKING FOUNTAIN,-27.4881778,153.0598654,505914,6959491
COORPAROO,COORPAROO,D0109,WEMBLEY PARK,24653,WEMBLEY PK SHARED PATHWAY NETWORK,43743,TAP COMBINATION,BUBBLER & TAP,-27.4891720,153.0584349,505772,6959381
COORPAROO,COORPAROO,D0117,LANGLANDS PARK,23287,NETBALL COURT - ASPHALT,102090,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4954730,153.0485419,504795,6958684
COORPAROO,COORPAROO,D0117,LANGLANDS PARK,23287,NETBALL COURT - ASPHALT,39501,BUBBLER/DRINKING FOUNTAIN,BUBBLER,-27.4954913,153.0485437,504795,6958682
THE GABBA,DUTTON PARK,D0355,DUTTON PARK,14175,GLADSTONE RD DOG OFF LEASH AREA,30770,TAP COMBINATION,"BUBBLER, TAP & DOG BOWL",-27.4968505,153.0259564,502564,6958532
THE GABBA,DUTTON PARK,D0355,DUTTON PARK,14177,HARMONY GDNS PLAYGROUND,180785,BUBBLER/DRINKING FOUNTAIN,BUBBLER/DRINKING FOUNTAIN,-27.4960241,153.0248891,502458,6958623
THE GABBA,DUTTON PARK,D0355,DUTTON PARK,14178,BALANCE OF PARK,7417,BUBBLER/DRINKING FOUNTAIN,BUBBLER - DISABLED ACCESS,-27.4968824,153.0254374,502513,6958528
THE GABBA,DUTTON PARK,D0355,DUTTON PARK,14177,HARMONY GDNS PLAYGROUND,29949,TAP COMBINATION,BUBBLER & TAP,-27.4959844,153.0248336,502453,6958628
THE GABBA,DUTTON PARK,D0355,DUTTON PARK,14183,GLADSTONE RD HALF COURT & VANTAGE POINT,36932,TAP COMBINATION,BUBBLER & TAP,-27.4964623,153.0255758,502526,6958575
THE GABBA,DUTTON PARK,D0356,GAIR PARK,14169,GAIR PK MEETING SPACE,85917,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4964718,153.0274304,502709,6958574
THE GABBA,EAST BRISBANE,D0360,WOOLLOONGABBA ROTARY PARK,14462,WOOLLOONGABBA ROTARY PK DOG OFF LEASH AREA,30142,TAP COMBINATION,BUBBLER & TAP,-27.4904650,153.0428186,504230,6959239
THE GABBA,EAST BRISBANE,D0365,WILLIAMINA PARK,14434,CLUB & SPORTING FIELDS PARKING,14075,TAP COMBINATION,BUBBLER & TAP,-27.4834536,153.0454828,504493,6960015
THE GABBA,EAST BRISBANE,D0366,MOWBRAY PARK,14137,MOWBRAY PK SHARED PATHWAY & RIVERWALK,14135,BUBBLER/DRINKING FOUNTAIN,FOUNTAIN - DISABLED ACCESS,-27.4776746,153.0428780,504236,6960655
THE GABBA,EAST BRISBANE,D0366,MOWBRAY PARK,14137,MOWBRAY PK SHARED PATHWAY & RIVERWALK,39595,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4782925,153.0444785,504394,6960587
THE GABBA,EAST BRISBANE,D0366,MOWBRAY PARK,14423,BALANCE OF PARK,169697,TAP COMBINATION,BUBBLER & 2 TAPS,-27.4788920,153.0445485,504401,6960520
